schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2073,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2073,2026-09-13T13:56:08+09:00,법률,모집중,"「경기도자립준비청년 법률SOS (4차,경기북부)」 참여",경기,2026-08-28 ~ 2026-09-14,2026-08-28,2026-09-14,False,,,,,경기도자립지원전담기관,,,63,"[""자립준비청년"", ""법률상담""]",,[],[],False
1.0,jaripon,2056,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2056,2026-09-13T13:56:09+09:00,법률,모집중,[서울자립지원전담기관] 자립준비청년 무료법률상담(9월),서울,2026-08-21 ~ 2026-09-15,2026-08-21,2026-09-15,False,,,,,[서울자립지원전담기관] 영플러스잡스 취업컨설팅,,,81,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2036,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2036,2026-09-13T13:56:19+09:00,법률,모집종료,기독법률가회(CLF)와 함께하는자립준비청년 법률 교육,서울,2026-08-12 ~ 2026-08-24,2026-08-12,2026-08-24,False,,,,,지파운데이션,,,219,"[""자립준비청년"", ""보호연장아동"", ""자립준비청소년""]",,[],[],False
1.0,jaripon,2024,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2024,2026-09-13T13:56:20+09:00,법률,모집종료,「경기도자립준비청년 법률SOS (3차)」 참여자 모집,경기,2026-08-04 ~ 2026-08-18,2026-08-04,2026-08-18,False,,,,,경기도자립지원전담기관,,,82,"[""경기도자립준비청년"", ""법률상담""]",,[],[],False
1.0,jaripon,1954,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1954,2026-09-13T13:56:32+09:00,법률,모집종료,경기도자립준비청년 법률SOS (2차) 참여자 모집,경기,2026-07-01 ~ 2026-07-17,2026-07-01,2026-07-17,False,,,,,경기도자립지원전담기관,,,100,"[""경기도자립지원전담기관"", ""무료법률상담""]",,[],[],False
1.0,jaripon,1868,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1868,2026-09-13T13:56:47+09:00,법률,모집종료,경기도자립준비청년 법률 SOS,경기,2026-05-20 ~ 2026-06-18,2026-05-20,2026-06-18,False,,,,,경기도자립지원전담기관,,,207,"[""자립준비청년대상"", ""청년대상"", ""자립준비청년법률자문""]",,[],[],False
1.0,jaripon,1815,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1815,2026-09-13T13:56:56+09:00,법률,모집종료,자립준비청년 법률 자문,전국,2026-04-30 ~ 2026-07-31,2026-04-30,2026-07-31,False,,,,,지파운데이션,,,311,"[""자립준비청년"", ""보호연장아동""]",,[],[],False
