schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2054,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2054,2026-09-13T13:56:09+09:00,기타,모집종료,자립준비청년 음악활동 자조모임 런런 앙상블 추가모집,전국,2026-08-20 ~ 2026-08-30,2026-08-20,2026-08-30,False,,,,,홀트아동복지회,,,136,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2047,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2047,2026-09-13T13:56:11+09:00,기타,모집중,2026년 [청년의날 페스티벌] 참석자 모집,충남,2026-08-20 ~ 2026-09-18,2026-08-20,2026-09-18,False,,,,,충남아동자립지원전담기관,,,176,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2061,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2061,2026-09-13T13:56:09+09:00,기타,모집종료,보호연장아동 자립지원프로그램 체험형 프리,경기,2026-08-19 ~ 2026-08-31,2026-08-19,2026-08-31,False,,,,,경기도자립지원전담기관,,,212,"[""보호연장아동"", ""프리다이빙""]",,[],[],False
1.0,jaripon,2046,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2046,2026-09-13T13:56:11+09:00,기타,모집종료,AI 활용 교육/ AI를 나만의 비서로 만드는법,전국,2026-08-19 ~ 2026-08-21,2026-08-19,2026-08-21,False,,,,,사단법인 자립준비청년후원회,,,138,[],,[],[],False
1.0,jaripon,2041,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2041,2026-09-13T13:56:11+09:00,기타,모집종료,<보호연장아동 자립체험프로그램>,전국,2026-08-15 ~ 2026-08-28,2026-08-15,2026-08-28,False,,,,,경상북도자립지원전담기관,,,210,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2043,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2043,2026-09-13T13:56:11+09:00,기타,모집종료,[서울자립지원전담기관]문화힐링프로그램 4주차,서울,2026-08-14 ~ 2026-08-21,2026-08-14,2026-08-21,False,,,,,서울시자립지원전담기관,,,207,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2033,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2033,2026-09-13T13:56:19+09:00,기타,모집종료,"기아대책이 새출발을 응원합니다!(운동화,생필품 구매)",전국,2026-08-11 ~ 2026-08-14,2026-08-11,2026-08-14,False,,,,,희망친구 기아대책,,,1530,"[""자립준비청년""]",,[],[],False
1.0,jaripon,2026,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2026,2026-09-13T13:56:20+09:00,기타,모집종료,2026 보호연장아동 자립지원프로그램 1차 수요조사,경기,2026-08-10 ~ 2026-08-31,2026-08-10,2026-08-31,False,,,,,경기도자립지원전담기관,,,210,"[""보호연장아동"", ""경기도자립지원전담기관""]",,[],[],False
1.0,jaripon,2030,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2030,2026-09-13T13:56:19+09:00,기타,모집종료,[서울자립지원전담기관]마음충전성장캠프(2회차),서울,2026-08-07 ~ 2026-08-17,2026-08-07,2026-08-17,False,,,,,서울시자립지원전담기관,,,299,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2028,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2028,2026-09-13T13:56:20+09:00,기타,모집종료,<나의 종이인간과 동행하기> 2기 참여자 모집,서울,2026-08-06 ~ 2026-08-13,2026-08-06,2026-08-13,False,,,,,서대문구청,,,238,[],,[],[],False
1.0,jaripon,2027,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2027,2026-09-13T13:56:20+09:00,기타,모집종료,"인(仁)품 ""자립 빌드업: 리얼 댕집사 라이프"" 편",인천,2026-08-06 ~ 2026-08-14,2026-08-06,2026-08-14,False,,,,,인천광역시자립지원전담기관,,,174,"[""자립준비청년""]",,[],[],False
