schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,2092,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2092,2026-09-13T13:56:00+09:00,진로,모집중,「2026년 전문 캐디 양성 및 취업연계 프로그램」,전국,2026-08-20 ~ 2026-09-14,2026-08-20,2026-09-14,False,,,,,서울경제진흥원,,,173,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2052,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2052,2026-09-13T13:56:11+09:00,진로,모집종료,[한국서부발전]2026년도 2차 체험형 인턴 모집 공고,전국,2026-08-20 ~ 2026-09-03,2026-08-20,2026-09-03,False,,,,,(주)매일경제신문사,,,151,"[""체험인턴""]",,[],[],False
1.0,jaripon,2049,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2049,2026-09-13T13:56:11+09:00,진로,모집종료,한국산업단지공단 26년 하반기 신입직원(사회형평) 채용,전국,2026-08-20 ~ 2026-09-03,2026-08-20,2026-09-03,False,,,,,한국산업단지공단,,,318,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2048,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2048,2026-09-13T13:56:11+09:00,진로,모집종료,[서울자립지원전담기관] 영플러스잡스 참여자 모집,서울,2026-08-20 ~ 2026-08-26,2026-08-20,2026-08-26,False,,,,,[서울자립지원전담기관] 영플러스잡스 취업컨설팅,,,144,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2044,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2044,2026-09-13T13:56:11+09:00,진로,모집종료,2026년 청년강사양성과정 참여자 모집,충남,2026-08-18 ~ 2026-09-11,2026-08-18,2026-09-11,False,,,,,충남아동자립지원전담기관,,,157,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2031,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2031,2026-09-13T13:56:19+09:00,진로,모집종료,[한국철도공사] 2026년 하반기 한국철도공사 신입채용,서울 외 (14),2026-08-18 ~ 2026-08-21,2026-08-18,2026-08-21,False,,,,,(주)매일경제신문사,,,120,"[""청년 대상""]",,[],[],False
1.0,jaripon,2055,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2055,2026-09-13T13:56:09+09:00,진로,모집종료,2026년 한국농수산식품유통공사 4차 기간제 근로자 채,경기 외 (3),2026-08-14 ~ 2026-08-31,2026-08-14,2026-08-31,False,,,,,한국농수산식품유통공사,,,85,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,2042,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2042,2026-09-13T13:56:11+09:00,진로,모집종료,2026 버거킹 자립준비청년 성장 지원 프로그램,전국,2026-08-14 ~ 2026-09-04,2026-08-14,2026-09-04,False,,,,,BKR,,,899,"[""자립준비청년우대""]",,[],[],False
1.0,jaripon,2008,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2008,2026-09-13T13:56:21+09:00,진로,모집중,"[농정원] 농업으로의 자립 진로, 농업일자리 체험교육",전국,2026-08-13 ~ 2026-11-06,2026-08-13,2026-11-06,False,,,,,(주)팜러닝,,,249,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,2034,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2034,2026-09-13T13:56:19+09:00,진로,모집종료,2026년도 한국산업안전보건공단 하반기 채용공고,전국,2026-08-12 ~ 2026-08-24,2026-08-12,2026-08-24,False,,,,,한국산업안전보건공단,,,300,"[""자립준비청년 우대""]",,[],[],False
